Site_Location,Body_Condition_Factor
1,0.842220552
1,0.89058309
1,0.779776449
1,0.781399417
1,0.803906706
1,0.866891399
0,0.936983847
0,0.744872208
0,0.863289182
0,0.796197588
0,0.856034985
0,0.6476313
0,0.837338284
0,0.851157407
0,0.65886572
0,0.746388889
1,0.772627609
1,0.768217085
1,0.924723032
1,0.767328687
1,0.699198236
1,0.731851852
1,0.757191769
1,0.759988148
1,0.836280436
0,0.695020482
0,0.679473877
0,0.757141113
0,0.661593081
0,0.687824074
0,0.66087876
