Season_Collected,Body_Condition_Factor
1,0.842220552
1,0.89058309
1,0.779776449
1,0.781399417
1,0.803906706
1,0.866891399
1,0.936983847
1,0.744872208
1,0.863289182
1,0.796197588
1,0.856034985
1,0.6476313
1,0.837338284
1,0.851157407
1,0.65886572
1,0.746388889
0,0.772627609
0,0.768217085
0,0.924723032
0,0.767328687
0,0.699198236
0,0.731851852
0,0.757191769
0,0.759988148
0,0.836280436
0,0.695020482
0,0.679473877
0,0.757141113
0,0.661593081
0,0.687824074
0,0.66087876
